GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04
Id,Id2,Geography,Both sexes,Male,Female
1500000US510010000000,510010000000,"Block Group 0, Census Tract 0, Accomack County, Virginia",0.0,0.0,0.0
1500000US510019901001,510019901001,"Block Group 1, Census Tract 9901, Accomack County, Virginia",46.2,43.5,49.9
1500000US510019901002,510019901002,"Block Group 2, Census Tract 9901, Accomack County, Virginia",44.7,46.0,43.3
1500000US510019901003,510019901003,"Block Group 3, Census Tract 9901, Accomack County, Virginia",42.9,42.9,42.9
1500000US510019901004,510019901004,"Block Group 4, Census Tract 9901, Accomack County, Virginia",49.7,48.3,50.9
1500000US510019902001,510019902001,"Block Group 1, Census Tract 9902, Accomack County, Virginia",33.8,34.1,33.2
1500000US510019902002,510019902002,"Block Group 2, Census Tract 9902, Accomack County, Virginia",33.0,31.8,33.8
1500000US510019902003,510019902003,"Block Group 3, Census Tract 9902, Accomack County, Virginia",39.5,38.4,40.6
1500000US510019903001,510019903001,"Block Group 1, Census Tract 9903, Accomack County, Virginia",36.1,34.3,37.6
1500000US510019903002,510019903002,"Block Group 2, Census Tract 9903, Accomack County, Virginia",43.9,42.8,44.3
1500000US510019903003,510019903003,"Block Group 3, Census Tract 9903, Accomack County, Virginia",37.7,35.4,40.2
1500000US510019904001,510019904001,"Block Group 1, Census Tract 9904, Accomack County, Virginia",28.2,27.0,29.5
1500000US510019904002,510019904002,"Block Group 2, Census Tract 9904, Accomack County, Virginia",37.9,35.8,39.9
1500000US510019904003,510019904003,"Block Group 3, Census Tract 9904, Accomack County, Virginia",33.1,27.8,37.0
1500000US510019904004,510019904004,"Block Group 4, Census Tract 9904, Accomack County, Virginia",36.3,33.4,40.0
1500000US510019905001,510019905001,"Block Group 1, Census Tract 9905, Accomack County, Virginia",42.1,39.1,45.1
1500000US510019905002,510019905002,"Block Group 2, Census Tract 9905, Accomack County, Virginia",40.4,38.8,41.8
1500000US510019905003,510019905003,"Block Group 3, Census Tract 9905, Accomack County, Virginia",36.5,33.5,39.8
1500000US510019906001,510019906001,"Block Group 1, Census Tract 9906, Accomack County, Virginia",41.4,39.6,45.1
1500000US510019906002,510019906002,"Block Group 2, Census Tract 9906, Accomack County, Virginia",47.9,45.6,50.3
1500000US510019906003,510019906003,"Block Group 3, Census Tract 9906, Accomack County, Virginia",45.6,43.4,47.6
1500000US510019906004,510019906004,"Block Group 4, Census Tract 9906, Accomack County, Virginia",44.8,44.6,45.0
