GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1500000US510030107002,510030107002,"Block Group 2, Census Tract 107, Albemarle County, Virginia",1098,400,371,167,97,41,15,7
1500000US510030107003,510030107003,"Block Group 3, Census Tract 107, Albemarle County, Virginia",1131,555,333,131,81,21,4,6
1500000US510030108001,510030108001,"Block Group 1, Census Tract 108, Albemarle County, Virginia",211,52,68,42,29,13,6,1
1500000US510030108002,510030108002,"Block Group 2, Census Tract 108, Albemarle County, Virginia",631,292,224,67,31,13,3,1
1500000US510030108003,510030108003,"Block Group 3, Census Tract 108, Albemarle County, Virginia",616,242,207,76,58,22,8,3
1500000US510030108004,510030108004,"Block Group 4, Census Tract 108, Albemarle County, Virginia",483,199,181,67,29,6,1,0
1500000US510030108005,510030108005,"Block Group 5, Census Tract 108, Albemarle County, Virginia",421,197,146,30,30,17,1,0
1500000US510030108006,510030108006,"Block Group 6, Census Tract 108, Albemarle County, Virginia",233,51,98,27,39,10,4,4
1500000US510030109011,510030109011,"Block Group 1, Census Tract 109.01, Albemarle County, Virginia",736,416,269,36,14,1,0,0
1500000US510030109012,510030109012,"Block Group 2, Census Tract 109.01, Albemarle County, Virginia",254,17,83,77,51,22,1,3
1500000US510030109021,510030109021,"Block Group 1, Census Tract 109.02, Albemarle County, Virginia",424,222,127,46,22,6,1,0
1500000US510030109031,510030109031,"Block Group 1, Census Tract 109.03, Albemarle County, Virginia",0,0,0,0,0,0,0,0
1500000US510030109032,510030109032,"Block Group 2, Census Tract 109.03, Albemarle County, Virginia",90,84,3,2,1,0,0,0
1500000US510030109033,510030109033,"Block Group 3, Census Tract 109.03, Albemarle County, Virginia",20,13,2,3,2,0,0,0
1500000US510030110001,510030110001,"Block Group 1, Census Tract 110, Albemarle County, Virginia",365,66,153,53,60,24,9,0
1500000US510030110002,510030110002,"Block Group 2, Census Tract 110, Albemarle County, Virginia",442,112,223,44,42,18,3,0
1500000US510030110003,510030110003,"Block Group 3, Census Tract 110, Albemarle County, Virginia",528,83,181,98,108,54,4,0
1500000US510030110004,510030110004,"Block Group 4, Census Tract 110, Albemarle County, Virginia",548,111,175,80,124,44,11,3
1500000US510030110005,510030110005,"Block Group 5, Census Tract 110, Albemarle County, Virginia",449,47,141,91,107,42,17,4
1500000US510030111001,510030111001,"Block Group 1, Census Tract 111, Albemarle County, Virginia",409,122,135,71,44,25,8,4
1500000US510030111002,510030111002,"Block Group 2, Census Tract 111, Albemarle County, Virginia",459,88,148,86,83,40,14,0
1500000US510030111003,510030111003,"Block Group 3, Census Tract 111, Albemarle County, Virginia",306,118,93,37,42,12,4,0
1500000US510030111004,510030111004,"Block Group 4, Census Tract 111, Albemarle County, Virginia",292,46,101,65,55,18,5,2
1500000US510030111005,510030111005,"Block Group 5, Census Tract 111, Albemarle County, Virginia",257,58,93,50,33,17,4,2
1500000US510030112001,510030112001,"Block Group 1, Census Tract 112, Albemarle County, Virginia",540,105,225,89,70,39,7,5
1500000US510030112002,510030112002,"Block Group 2, Census Tract 112, Albemarle County, Virginia",502,117,185,92,68,28,8,4
1500000US510030112003,510030112003,"Block Group 3, Census Tract 112, Albemarle County, Virginia",389,83,147,68,63,23,3,2
1500000US510030112004,510030112004,"Block Group 4, Census Tract 112, Albemarle County, Virginia",468,106,178,77,59,35,9,4
1500000US510030112005,510030112005,"Block Group 5, Census Tract 112, Albemarle County, Virginia",419,104,138,67,67,31,7,5
1500000US510030113001,510030113001,"Block Group 1, Census Tract 113, Albemarle County, Virginia",304,97,97,51,32,21,5,1
1500000US510030113002,510030113002,"Block Group 2, Census Tract 113, Albemarle County, Virginia",516,119,150,101,85,45,8,8
1500000US510030113003,510030113003,"Block Group 3, Census Tract 113, Albemarle County, Virginia",1425,442,492,231,198,44,12,6
1500000US510030113004,510030113004,"Block Group 4, Census Tract 113, Albemarle County, Virginia",490,125,166,91,77,20,11,0
1500000US510030113005,510030113005,"Block Group 5, Census Tract 113, Albemarle County, Virginia",664,114,246,129,106,51,11,7
1500000US510030113006,510030113006,"Block Group 6, Census Tract 113, Albemarle County, Virginia",390,82,133,69,56,28,12,10
1500000US510030114001,510030114001,"Block Group 1, Census Tract 114, Albemarle County, Virginia",414,111,141,71,54,23,8,6
1500000US510030114002,510030114002,"Block Group 2, Census Tract 114, Albemarle County, Virginia",293,97,96,43,35,13,7,2
